mode,mode_name,cluster_size,sharing_group,smem_width,smem_height,tile_bytes,total_smem_bytes,gpu_time_ns,sm_cycles,tma_instructions,smsp_tma_instructions,tma_xbar_active_cycles,tma_mcast_requests,tma_mcast_req_32B,tma_mcast_req_64B,tma_mcast_req_96B,tma_mcast_req_128B,tma_mcast_req_replayed,tma_ld_bytes,tma_ld_bytes_self,tma_ld_bytes_mcast,tma_ld_sectors,tma_ld_sectors_self,tma_ld_sectors_mcast,tma_pipe_bytes,tma_pipe_sectors,lts_sectors_total,lts_sectors_read,lts_sectors_tex,lts_sectors_tex_read,lts_requests_tex,lts_tex_hit,lts_tex_miss,lts_hit,lts_miss,lts_hit_rate_pct,dram_bytes_read,dram_bytes_total,dram_sectors_read,dram_throughput_pct_peak,gcc_xbar2gcc_sectors,stall_barrier,stall_long_scoreboard,stall_mio_throttle,lrc_ilc_input_sectors
0,implicit_l2_intra,1,1,32,32,4096,16416,11003008,17329632.80,524240,524240,8387840,0,0,0,0,0,0,2147287040,2147287040,0,67102720,67102720,0,2147287040,67102720,68160962,67109721,67102720,67102720,16775680,0,67102720,4169,68171101,n/a,n/a,n/a,n/a,n/a,360,1055557.12,12232077.21,0,n/a
1,explicit_mcast,1,1,32,32,4096,16416,11315712,17822155.80,524240,524240,8387840,0,0,0,0,0,0,2147287040,2147287040,0,67102720,67102720,0,2147287040,67102720,68194039,67122580,67102720,67102720,16775680,0,67102720,7479,68160717,n/a,n/a,n/a,n/a,n/a,360,1094359.32,12418600.68,0,n/a
0,implicit_l2_intra,1,1,64,16,4096,16416,11025248,17364662.20,524240,524240,8387840,0,0,0,0,0,0,2147287040,2147287040,0,67102720,67102720,0,2147287040,67102720,68164730,67110887,67102720,67102720,16775680,0,67102720,21312,68158578,n/a,n/a,n/a,n/a,n/a,336,1062634.44,12246572.30,0,n/a
1,explicit_mcast,1,1,64,16,4096,16416,11167008,17587953,524240,524240,8387840,0,0,0,0,0,0,2147287040,2147287040,0,67102720,67102720,0,2147287040,67102720,68181668,67118463,67102720,67102720,16775680,0,67102720,13559,68158504,n/a,n/a,n/a,n/a,n/a,360,1077204.84,12271111.88,0,n/a
0,implicit_l2_intra,1,1,128,8,4096,16416,10984384,17300323.60,524240,524240,8387840,0,0,0,0,0,0,2147287040,2147287040,0,67102720,67102720,0,2147287040,67102720,68160961,67109729,67102720,67102720,16775680,0,67102720,10818,68160414,n/a,n/a,n/a,n/a,n/a,336,1089856.23,12175162.46,0,n/a
1,explicit_mcast,1,1,128,8,4096,16416,11010880,17342055.70,524240,524240,8387840,0,0,0,0,0,0,2147287040,2147287040,0,67102720,67102720,0,2147287040,67102720,68161153,67109799,67102720,67102720,16775680,0,67102720,10651,68176901,n/a,n/a,n/a,n/a,n/a,360,1097098.15,12094816.70,0,n/a
0,implicit_l2_intra,1,1,32,48,6144,24608,8375488,13191303.10,349520,349520,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,68486283,67119949,67107840,67107840,16776960,0,67107840,12851,68485147,n/a,n/a,n/a,n/a,n/a,360,822928.79,9528190.10,0,n/a
1,explicit_mcast,1,1,32,48,6144,24608,11149120,17559798.30,349520,349520,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,68495642,67123560,67107840,67107840,16776960,0,67107840,2253,68485869,n/a,n/a,n/a,n/a,n/a,360,921844.19,13025074.10,0,n/a
0,implicit_l2_intra,1,1,64,24,6144,24608,11177024,17603740.10,349520,349520,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,68499289,67124430,67107840,67107840,16776960,0,67107840,11010,68473923,n/a,n/a,n/a,n/a,n/a,360,931489.24,12982180.76,0,n/a
1,explicit_mcast,1,1,64,24,6144,24608,11077536,17447013.30,349520,349520,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,68485603,67117571,67107840,67107840,16776960,0,67107840,10856,68478431,n/a,n/a,n/a,n/a,n/a,360,930346.30,12810501.04,0,n/a
0,implicit_l2_intra,1,1,128,12,6144,24608,11274656,17757489.40,349520,349520,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,68506962,67127057,67107840,67107840,16776960,0,67107840,10888,68473556,n/a,n/a,n/a,n/a,n/a,360,934785.06,12988243.24,0,n/a
1,explicit_mcast,1,1,128,12,6144,24608,10937216,17226031.10,349520,349520,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,68473722,67114525,67107840,67107840,16776960,0,67107840,19776,68474059,n/a,n/a,n/a,n/a,n/a,360,941399.84,12529805.81,0,n/a
0,implicit_l2_intra,1,1,32,64,8192,32800,11178688,17606329.20,262080,262080,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,68170910,67106947,67092480,67092480,16773120,0,67092480,10226,68159763,n/a,n/a,n/a,n/a,n/a,336,641049.90,14494489.34,0,n/a
1,explicit_mcast,1,1,32,64,8192,32800,10844576,17080119.80,262080,262080,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,68149475,67098398,67092480,67092480,16773120,0,67092480,13354,68148682,n/a,n/a,n/a,n/a,n/a,360,607311.82,14191074.95,0,n/a
0,implicit_l2_intra,1,1,64,32,8192,32800,8251328,12995751.40,262080,262080,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,68149430,67098220,67092480,67092480,16773120,0,67092480,13346,68148742,n/a,n/a,n/a,n/a,n/a,360,598020.71,10296611.24,0,n/a
1,explicit_mcast,1,1,64,32,8192,32800,10847616,17084928.70,262080,262080,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,68149674,67098695,67092480,67092480,16773120,0,67092480,11255,68163169,n/a,n/a,n/a,n/a,n/a,360,611349.39,14187267.28,0,n/a
0,implicit_l2_intra,1,1,128,16,8192,32800,11120160,17514235.70,262080,262080,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,68171801,67107990,67092480,67092480,16773120,0,67092480,2234,68146807,n/a,n/a,n/a,n/a,n/a,336,621660.09,14513872.84,0,n/a
1,explicit_mcast,1,1,128,16,8192,32800,10916864,17193917.20,262080,262080,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,68149164,67098081,67092480,67092480,16773120,0,67092480,2204,68159487,n/a,n/a,n/a,n/a,n/a,360,635249.41,14153782.22,0,n/a
0,implicit_l2_intra,1,1,32,80,10240,40992,11205312,17648322.30,209680,209680,8387200,0,0,0,0,0,0,2147123200,2147123200,0,67097600,67097600,0,2147123200,67097600,67966965,67112893,67097600,67097600,16774400,0,67097600,13782,67944321,n/a,n/a,n/a,n/a,n/a,360,591889.39,14227541.05,0,n/a
1,explicit_mcast,1,1,32,80,10240,40992,11225952,17680805.10,209680,209680,8387200,0,0,0,0,0,0,2147123200,2147123200,0,67097600,67097600,0,2147123200,67097600,67966926,67112794,67097600,67097600,16774400,0,67097600,13479,67941865,n/a,n/a,n/a,n/a,n/a,360,595592.11,14197690.99,0,n/a
0,implicit_l2_intra,1,1,64,40,10240,40992,10894912,17159362.50,209680,209680,8387200,0,0,0,0,0,0,2147123200,2147123200,0,67097600,67097600,0,2147123200,67097600,67943873,67102364,67097600,67097600,16774400,0,67097600,13511,67952472,n/a,n/a,n/a,n/a,n/a,360,594636.03,13910821.89,0,n/a
1,explicit_mcast,1,1,64,40,10240,40992,8607776,13557150,209680,209680,8387200,0,0,0,0,0,0,2147123200,2147123200,0,67097600,67097600,0,2147123200,67097600,67965366,67111327,67097600,67097600,16774400,0,67097600,13483,67949793,n/a,n/a,n/a,n/a,n/a,360,566982.53,10738971.50,0,n/a
0,implicit_l2_intra,1,1,128,20,10240,40992,11095264,17474942.70,209680,209680,8387200,0,0,0,0,0,0,2147123200,2147123200,0,67097600,67097600,0,2147123200,67097600,67958223,67108445,67097600,67097600,16774400,0,67097600,11435,67943912,n/a,n/a,n/a,n/a,n/a,360,592549.55,14171444.80,0,n/a
1,explicit_mcast,1,1,128,20,10240,40992,11240864,17704299.30,209680,209680,8387200,0,0,0,0,0,0,2147123200,2147123200,0,67097600,67097600,0,2147123200,67097600,67967192,67113034,67097600,67097600,16774400,0,67097600,6736,67942389,n/a,n/a,n/a,n/a,n/a,360,592946.32,14249963.70,0,n/a
0,implicit_l2_intra,1,1,32,96,12288,49184,11276864,17761021,174720,174720,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67821039,67106124,67092480,67092480,16773120,0,67092480,2283,67808467,n/a,n/a,n/a,n/a,n/a,360,429389.20,14452180.47,0,n/a
1,explicit_mcast,1,1,32,96,12288,49184,11410304,17971152.10,174720,174720,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67825759,67107746,67092480,67092480,16773120,0,67092480,13826,67797635,n/a,n/a,n/a,n/a,n/a,360,462941.51,14335491.46,0,n/a
0,implicit_l2_intra,1,1,64,48,12288,49184,11120960,17515443.90,174720,174720,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67812081,67103144,67092480,67092480,16773120,0,67092480,6234,67795267,n/a,n/a,n/a,n/a,n/a,360,448935.78,14209306.99,0,n/a
1,explicit_mcast,1,1,64,48,12288,49184,8645632,13616800.40,174720,174720,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67824288,67107330,67092480,67092480,16773120,0,67092480,7477,67810461,n/a,n/a,n/a,n/a,n/a,360,439507.01,10945414.71,0,n/a
0,implicit_l2_intra,1,1,128,24,12288,49184,11392512,17943106.80,174720,174720,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67827227,67109101,67092480,67092480,16773120,0,67092480,11967,67796064,n/a,n/a,n/a,n/a,n/a,360,430797.45,14535929.89,0,n/a
1,explicit_mcast,1,1,128,24,12288,49184,10961472,17264237.70,174720,174720,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67802174,67097597,67092480,67092480,16773120,0,67092480,12092,67808366,n/a,n/a,n/a,n/a,n/a,360,469230.40,13950885.15,0,n/a
0,implicit_l2_intra,1,1,32,112,14336,57376,10905152,17175507.60,149760,149760,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67698883,67097040,67092480,67092480,16773120,0,67092480,13859,67710059,n/a,n/a,n/a,n/a,n/a,360,370312.11,13960640.47,0,n/a
1,explicit_mcast,1,1,32,112,14336,57376,11144128,17551951.20,149760,149760,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67707971,67101023,67092480,67092480,16773120,0,67092480,11108,67696436,n/a,n/a,n/a,n/a,n/a,360,363249.79,14219789.09,0,n/a
0,implicit_l2_intra,1,1,64,56,14336,57376,10950432,17246876.40,149760,149760,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67702182,67097902,67092480,67092480,16773120,0,67092480,12055,67698180,n/a,n/a,n/a,n/a,n/a,360,364844.97,14017629.72,0,n/a
1,explicit_mcast,1,1,64,56,14336,57376,10962400,17265652.30,149760,149760,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67698720,67096947,67092480,67092480,16773120,0,67092480,11921,67708336,n/a,n/a,n/a,n/a,n/a,360,368266.40,13990549.22,0,n/a
0,implicit_l2_intra,1,1,128,28,14336,57376,10934400,17221575,149760,149760,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67697592,67095876,67092480,67092480,16773120,0,67092480,14001,67707232,n/a,n/a,n/a,n/a,n/a,360,384329.83,13766329.22,0,n/a
1,explicit_mcast,1,1,128,28,14336,57376,11461920,18052423.90,149760,149760,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67727397,67108005,67092480,67092480,16773120,0,67092480,11449,67696386,n/a,n/a,n/a,n/a,n/a,360,343234.89,14474360.29,0,n/a
0,implicit_l2_intra,1,1,32,128,16384,65568,11173376,17598035,131040,131040,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67634907,67099012,67092480,67092480,16773120,0,67092480,11894,67627923,n/a,n/a,n/a,n/a,n/a,336,289352.60,13627357.65,0,n/a
1,explicit_mcast,1,1,32,128,16384,65568,10878240,17133077.90,131040,131040,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67623333,67096279,67092480,67092480,16773120,0,67092480,8090,67627562,n/a,n/a,n/a,n/a,n/a,360,290836.05,13673992.70,0,n/a
0,implicit_l2_intra,1,1,64,64,16384,65568,8659680,13638892.60,131040,131040,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67638514,67104037,67092480,67092480,16773120,0,67092480,13790,67635305,n/a,n/a,n/a,n/a,n/a,336,292453.51,11071793.82,0,n/a
1,explicit_mcast,1,1,64,64,16384,65568,8656736,13634280.60,131040,131040,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67643319,67105041,67092480,67092480,16773120,0,67092480,13524,67623629,n/a,n/a,n/a,n/a,n/a,360,284938.99,10727832.40,0,n/a
0,implicit_l2_intra,1,1,128,32,16384,65568,11184832,17616085.60,131040,131040,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67633753,67100785,67092480,67092480,16773120,0,67092480,12760,67632012,n/a,n/a,n/a,n/a,n/a,360,284569.72,13773509.64,0,n/a
1,explicit_mcast,1,1,128,32,16384,65568,11399648,17954395,131040,131040,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67649095,67106312,67092480,67092480,16773120,0,67092480,18757,67620768,n/a,n/a,n/a,n/a,n/a,360,270379.79,14047692.24,0,n/a
0,implicit_l2_intra,1,1,32,160,20480,81952,11192032,17627386.30,104800,104800,8384000,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67510102,67079864,67072000,67072000,16768000,0,67072000,11985,67508089,n/a,n/a,n/a,n/a,n/a,360,209886.06,13620251.54,0,n/a
1,explicit_mcast,1,1,32,160,20480,81952,8833344,13912479.80,104800,104800,8384000,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67519348,67084506,67072000,67072000,16768000,0,67072000,4313,67506090,n/a,n/a,n/a,n/a,n/a,360,197403.60,10702714.50,0,n/a
0,implicit_l2_intra,1,1,64,80,20480,81952,8316256,13098023.90,104800,104800,8384000,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67497945,67075674,67072000,67072000,16768000,0,67072000,13448,67497874,n/a,n/a,n/a,n/a,n/a,360,213840.42,10264106.49,0,n/a
1,explicit_mcast,1,1,64,80,20480,81952,11442752,18022289.20,104800,104800,8384000,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67519407,67084831,67072000,67072000,16768000,0,67072000,11082,67494733,n/a,n/a,n/a,n/a,n/a,360,190109.77,13926007.01,0,n/a
0,implicit_l2_intra,1,1,128,40,20480,81952,10900032,17167433.20,104800,104800,8384000,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67497945,67076262,67072000,67072000,16768000,0,67072000,6969,67495734,n/a,n/a,n/a,n/a,n/a,360,222234.52,13961993.88,0,n/a
1,explicit_mcast,1,1,128,40,20480,81952,11146112,17555017.90,104800,104800,8384000,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67508001,67079930,67072000,67072000,16768000,0,67072000,5815,67496220,n/a,n/a,n/a,n/a,n/a,360,215872.85,13600651.28,0,n/a
0,implicit_l2_intra,1,1,32,176,22528,90144,11208352,17653092.50,95280,95280,8384640,0,0,0,0,0,0,2146467840,2146467840,0,67077120,67077120,0,2146467840,67077120,67477882,67085996,67077120,67077120,16769280,0,67077120,9083,67461331,n/a,n/a,n/a,n/a,n/a,360,162081.05,14557274.70,0,n/a
1,explicit_mcast,1,1,32,176,22528,90144,11499552,18111682.10,95280,95280,8384640,0,0,0,0,0,0,2146467840,2146467840,0,67077120,67077120,0,2146467840,67077120,67486768,67091073,67077120,67077120,16769280,0,67077120,10890,67462953,n/a,n/a,n/a,n/a,n/a,360,193614.27,14114474.07,0,n/a
0,implicit_l2_intra,1,1,64,88,22528,90144,8632768,13596490.10,95280,95280,8384640,0,0,0,0,0,0,2146467840,2146467840,0,67077120,67077120,0,2146467840,67077120,67476937,67086746,67077120,67077120,16769280,0,67077120,13826,67476221,n/a,n/a,n/a,n/a,n/a,360,188851.20,10718169.59,0,n/a
1,explicit_mcast,1,1,64,88,22528,90144,11694656,18419011.80,95280,95280,8384640,0,0,0,0,0,0,2146467840,2146467840,0,67077120,67077120,0,2146467840,67077120,67492713,67092059,67077120,67077120,16769280,0,67077120,11995,67464051,n/a,n/a,n/a,n/a,n/a,360,168577.11,14196672.71,0,n/a
0,implicit_l2_intra,1,1,128,44,22528,90144,11623552,18306981.20,95280,95280,8384640,0,0,0,0,0,0,2146467840,2146467840,0,67077120,67077120,0,2146467840,67077120,67489792,67090677,67077120,67077120,16769280,0,67077120,9324,67467081,n/a,n/a,n/a,n/a,n/a,360,171469.86,14174115.93,0,n/a
1,explicit_mcast,1,1,128,44,22528,90144,10913088,17188040.10,95280,95280,8384640,0,0,0,0,0,0,2146467840,2146467840,0,67077120,67077120,0,2146467840,67077120,67464410,67080515,67077120,67077120,16769280,0,67077120,8081,67469891,n/a,n/a,n/a,n/a,n/a,360,194226.39,13486476.36,0,n/a
0,implicit_l2_intra,1,1,64,96,24576,98336,11534944,18167449.70,87360,87360,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67470149,67105127,67092480,67092480,16773120,0,67092480,14245,67447310,n/a,n/a,n/a,n/a,n/a,360,159295.61,14269550.15,0,n/a
1,explicit_mcast,1,1,64,96,24576,98336,11483808,18086854,87360,87360,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67470502,67105287,67092480,67092480,16773120,0,67092480,11973,67445167,n/a,n/a,n/a,n/a,n/a,360,173432.31,14225482.62,0,n/a
0,implicit_l2_intra,1,1,128,48,24576,98336,11670656,18381181.20,87360,87360,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67475418,67108035,67092480,67092480,16773120,0,67092480,2360,67458202,n/a,n/a,n/a,n/a,n/a,360,164295.10,14338484.74,0,n/a
1,explicit_mcast,1,1,128,48,24576,98336,11495776,18105798.90,87360,87360,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67469979,67105058,67092480,67092480,16773120,0,67092480,14184,67445716,n/a,n/a,n/a,n/a,n/a,360,158877.83,14268653.62,0,n/a
0,implicit_l2_intra,1,1,128,52,26624,106528,11600672,18270970.50,80640,80640,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67443869,67105268,67092480,67092480,16773120,0,67092480,2204,67427569,n/a,n/a,n/a,n/a,n/a,360,131986.10,14156305.57,0,n/a
1,explicit_mcast,1,1,128,52,26624,106528,11503136,18117344.40,80640,80640,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67437752,67103429,67092480,67092480,16773120,0,67092480,8531,67421104,n/a,n/a,n/a,n/a,n/a,360,112982.30,14272405.88,0,n/a
0,implicit_l2_intra,1,1,128,56,28672,114720,11075552,17443901.40,74880,74880,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67403056,67097896,67092480,67092480,16773120,0,67092480,2292,67403384,n/a,n/a,n/a,n/a,n/a,360,155511.85,14479643.47,0,n/a
1,explicit_mcast,1,1,128,56,28672,114720,10909120,17181803.60,74880,74880,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67397964,67095667,67092480,67092480,16773120,0,67092480,2142,67402247,n/a,n/a,n/a,n/a,n/a,360,155229.54,13965204.22,0,n/a
0,implicit_l2_intra,1,1,128,60,30720,122912,10957952,17258672,69840,69840,8380800,0,0,0,0,0,0,2145484800,2145484800,0,67046400,67046400,0,2145484800,67046400,67332245,67050354,67046400,67046400,16761600,0,67046400,7833,67330889,n/a,n/a,n/a,n/a,n/a,360,117921.35,13918564.51,0,n/a
1,explicit_mcast,1,1,128,60,30720,122912,10993888,17315302.50,69840,69840,8380803,0,0,0,0,0,0,2145484800,2145484800,0,67046400,67046400,0,2145484800,67046400,67332497,67050317,67046400,67046400,16761600,0,67046400,8318,67332053,n/a,n/a,n/a,n/a,n/a,360,76755.91,13562165.53,0,n/a
0,implicit_l2_intra,1,1,64,128,32768,131104,10909632,17182551,65520,65520,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67362767,67097899,67092480,67092480,16773120,0,67092480,10166,67364591,n/a,n/a,n/a,n/a,n/a,336,79627.39,14548712.93,0,n/a
1,explicit_mcast,1,1,64,128,32768,131104,10928864,17212911,65520,65520,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67361115,67096248,67092480,67092480,16773120,0,67092480,8446,67357403,n/a,n/a,n/a,n/a,n/a,360,75578.69,14290117.35,0,n/a
0,implicit_l2_intra,1,1,128,64,32768,131104,11725824,18468110.20,65520,65520,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67381431,67104805,67092480,67092480,16773120,0,67092480,9642,67360404,n/a,n/a,n/a,n/a,n/a,336,67065.66,14152613.31,0,n/a
1,explicit_mcast,1,1,128,64,32768,131104,11516480,18138344.10,65520,65520,8386560,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67375549,67102849,67092480,67092480,16773120,0,67092480,9949,67360199,n/a,n/a,n/a,n/a,n/a,360,63825.89,13656348.79,0,n/a
0,implicit_l2_intra,1,1,128,72,36864,147488,11185312,17616817.60,58240,58240,8386572,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67337723,67099076,67092480,67092480,16773120,0,67092480,8045,67341471,n/a,n/a,n/a,n/a,n/a,360,63666.45,13738113.71,0,n/a
1,explicit_mcast,1,1,128,72,36864,147488,11868384,18692659.70,58240,58240,8386568,0,0,0,0,0,0,2146959360,2146959360,0,67092480,67092480,0,2146959360,67092480,67353472,67104694,67092480,67092480,16773120,0,67092480,4351,67341016,n/a,n/a,n/a,n/a,n/a,360,68370.93,14122174.93,0,n/a
0,implicit_l2_intra,1,1,128,80,40960,163872,12034048,18953541,52400,52400,8384035,0,0,0,0,0,0,2146304000,2146304000,0,67072000,67072000,0,2146304000,67072000,67313616,67085463,67072000,67072000,16768000,0,67072000,6614,67286166,n/a,n/a,n/a,n/a,n/a,360,59680.79,14009977.71,0,n/a
