Format,ABLayout,CTAGroup,M,N,K,MedianCycles
E4M3,TS,2,128,80,32,161
E4M3,TS,2,128,96,32,165
E4M3,TS,2,128,112,32,169
E4M3,TS,2,128,128,32,173
E4M3,TS,2,128,256,32,205
E4M3,TS,2,256,64,32,165
E4M3,TS,2,256,80,32,173
E4M3,TS,2,256,96,32,181
E4M3,TS,2,256,112,32,189
E4M3,TS,2,256,128,32,197
E4M3,TS,2,256,256,32,261
S8,SS,1,64,64,32,151
S8,SS,1,64,80,32,159
S8,SS,1,64,96,32,167
S8,SS,1,64,112,32,175
S8,SS,1,64,128,32,183
S8,SS,1,64,256,32,247
S8,SS,1,128,64,32,167
S8,SS,1,128,80,32,175
S8,SS,1,128,96,32,183
S8,SS,1,128,112,32,191
S8,SS,1,128,128,32,199
S8,SS,1,128,256,32,263
S8,SS,2,128,64,32,165
S8,SS,2,128,80,32,171
S8,SS,2,128,96,32,177
S8,SS,2,128,112,32,183
S8,SS,2,128,128,32,189
S8,SS,2,128,256,32,221
S8,SS,2,256,64,32,194
S8,SS,2,256,80,32,202
S8,SS,2,256,96,32,210
S8,SS,2,256,112,32,218
S8,SS,2,256,128,32,226
S8,SS,2,256,256,32,290
S8,TS,1,64,64,32,135
S8,TS,1,64,80,32,143
S8,TS,1,64,96,32,151
S8,TS,1,64,112,32,159
S8,TS,1,64,128,32,167
S8,TS,1,64,256,32,231
S8,TS,1,128,64,32,135
S8,TS,1,128,80,32,143
S8,TS,1,128,96,32,151
S8,TS,1,128,112,32,159
S8,TS,1,128,128,32,167
S8,TS,1,128,256,32,231
S8,TS,2,128,64,32,154
S8,TS,2,128,80,32,158
S8,TS,2,128,96,32,162
S8,TS,2,128,112,32,166
S8,TS,2,128,128,32,170
S8,TS,2,128,256,32,202
S8,TS,2,256,64,32,162
S8,TS,2,256,80,32,170
S8,TS,2,256,96,32,178
S8,TS,2,256,112,32,186
S8,TS,2,256,128,32,194
S8,TS,2,256,256,32,258
F4,SS,1,64,64,64,152
F4,SS,1,64,80,64,160
F4,SS,1,64,96,64,168
F4,SS,1,64,112,64,176
F4,SS,1,64,128,64,184
F4,SS,1,64,256,64,248
F4,SS,1,128,64,64,168
F4,SS,1,128,80,64,176
F4,SS,1,128,96,64,184
F4,SS,1,128,112,64,192
F4,SS,1,128,128,64,200
F4,SS,1,128,256,64,264
F4,SS,2,128,64,64,168
F4,SS,2,128,80,64,174
F4,SS,2,128,96,64,180
F4,SS,2,128,112,64,186
F4,SS,2,128,128,64,192
F4,SS,2,128,256,64,224
F4,SS,2,256,64,64,197
F4,SS,2,256,80,64,205
F4,SS,2,256,96,64,213
F4,SS,2,256,112,64,221
F4,SS,2,256,128,64,229
F4,SS,2,256,256,64,293
F4,TS,1,64,64,64,136
F4,TS,1,64,80,64,144
F4,TS,1,64,96,64,152
F4,TS,1,64,112,64,160
F4,TS,1,64,128,64,168
F4,TS,1,64,256,64,232
F4,TS,1,128,64,64,136
F4,TS,1,128,80,64,144
F4,TS,1,128,96,64,152
F4,TS,1,128,112,64,160
F4,TS,1,128,128,64,168
F4,TS,1,128,256,64,232
F4,TS,2,128,64,64,157
F4,TS,2,128,80,64,161
F4,TS,2,128,96,64,165
F4,TS,2,128,112,64,169
F4,TS,2,128,128,64,173
F4,TS,2,128,256,64,205
F4,TS,2,256,64,64,165
F4,TS,2,256,80,64,173
F4,TS,2,256,96,64,181
F4,TS,2,256,112,64,189
F4,TS,2,256,128,64,197
F4,TS,2,256,256,64,261
MXF8,SS,1,128,64,32,169
MXF8,SS,1,128,80,32,177
MXF8,SS,1,128,96,32,185
MXF8,SS,1,128,112,32,193
MXF8,SS,1,128,128,32,201
MXF8,SS,1,128,256,32,265
MXF8,SS,2,128,64,32,171
MXF8,SS,2,128,80,32,177
MXF8,SS,2,128,96,32,183
MXF8,SS,2,128,112,32,189
MXF8,SS,2,128,128,32,195
MXF8,SS,2,128,256,32,227
MXF8,SS,2,256,64,32,200
MXF8,SS,2,256,80,32,208
MXF8,SS,2,256,96,32,216
MXF8,SS,2,256,112,32,224
MXF8,SS,2,256,128,32,232
MXF8,SS,2,256,256,32,296
MXF8,TS,1,128,64,32,139
MXF8,TS,1,128,80,32,147
MXF8,TS,1,128,96,32,155
MXF8,TS,1,128,112,32,163
MXF8,TS,1,128,128,32,171
MXF8,TS,1,128,256,32,237
MXF8,TS,2,128,64,32,160
MXF8,TS,2,128,80,32,164
MXF8,TS,2,128,96,32,168
MXF8,TS,2,128,112,32,172
MXF8,TS,2,128,128,32,176
MXF8,TS,2,128,256,32,208
MXF8,TS,2,256,64,32,168
MXF8,TS,2,256,80,32,176
MXF8,TS,2,256,96,32,184
MXF8,TS,2,256,112,32,192
MXF8,TS,2,256,128,32,200
MXF8,TS,2,256,256,32,266
MXF4,SS,1,128,64,64,169
MXF4,SS,1,128,80,64,177
MXF4,SS,1,128,96,64,185
MXF4,SS,1,128,112,64,193
MXF4,SS,1,128,128,64,201
MXF4,SS,1,128,256,64,265
MXF4,SS,2,128,64,64,171
MXF4,SS,2,128,80,64,177
MXF4,SS,2,128,96,64,183
MXF4,SS,2,128,112,64,189
MXF4,SS,2,128,128,64,195
MXF4,SS,2,128,256,64,227
MXF4,SS,2,256,64,64,200
MXF4,SS,2,256,80,64,208
MXF4,SS,2,256,96,64,216
MXF4,SS,2,256,112,64,224
MXF4,SS,2,256,128,64,232
MXF4,SS,2,256,256,64,296
MXF4,TS,1,128,64,64,139
MXF4,TS,1,128,80,64,147
MXF4,TS,1,128,96,64,155
MXF4,TS,1,128,112,64,163
MXF4,TS,1,128,128,64,171
MXF4,TS,1,128,256,64,237
MXF4,TS,2,128,64,64,160
MXF4,TS,2,128,80,64,164
MXF4,TS,2,128,96,64,168
MXF4,TS,2,128,112,64,172
MXF4,TS,2,128,128,64,176
MXF4,TS,2,128,256,64,208
MXF4,TS,2,256,64,64,168
MXF4,TS,2,256,80,64,176
MXF4,TS,2,256,96,64,184
MXF4,TS,2,256,112,64,192
MXF4,TS,2,256,128,64,200
MXF4,TS,2,256,256,64,266
