sm_a,sm_b,mean_abs_diff,gpc_a,gpc_b
14,15,97.2,1,1
14,4,87.9,1,2
14,5,97.1,1,2
14,10,101.8,1,2
14,11,86.3,1,2
14,16,147.2,1,2
14,17,101.9,1,2
14,18,95.4,1,2
14,19,167.2,1,2
15,0,117.1,1,0
15,1,92.6,1,0
15,6,129.2,1,0
15,7,151.1,1,0
15,12,74.3,1,0
15,13,128.6,1,0
15,2,104.0,1,1
15,3,109.4,1,1
15,8,129.9,1,1
15,9,127.2,1,1
15,14,97.2,1,1
15,15,0.0,1,1
15,4,121.2,1,2
15,5,105.7,1,2
15,10,104.2,1,2
15,11,94.6,1,2
15,16,139.0,1,2
15,17,120.8,1,2
15,18,109.1,1,2
15,19,159.7,1,2
4,0,149.6,2,0
4,1,93.5,2,0
4,6,92.5,2,0
4,7,85.4,2,0
4,12,140.4,2,0
4,13,81.5,2,0
4,2,83.3,2,1
4,3,136.4,2,1
4,8,96.9,2,1
4,9,120.3,2,1
4,14,87.9,2,1
4,15,121.2,2,1
4,4,0.0,2,2
4,5,102.6,2,2
4,10,101.6,2,2
4,11,112.8,2,2
4,16,164.4,2,2
4,17,104.9,2,2
4,18,136.0,2,2
4,19,172.5,2,2
5,0,171.5,2,0
5,1,92.9,2,0
5,6,123.0,2,0
5,7,138.5,2,0
5,12,109.3,2,0
5,13,123.7,2,0
5,2,106.6,2,1
5,3,144.7,2,1
5,8,144.0,2,1
5,9,154.1,2,1
5,14,97.1,2,1
5,15,105.7,2,1
5,4,102.6,2,2
5,5,0.0,2,2
5,10,118.6,2,2
5,11,125.3,2,2
5,16,183.1,2,2
5,17,136.2,2,2
5,18,125.2,2,2
5,19,208.7,2,2
10,0,102.2,2,0
10,1,112.6,2,0
10,6,123.6,2,0
10,7,116.0,2,0
10,12,126.9,2,0
10,13,103.5,2,0
10,2,94.0,2,1
10,3,87.0,2,1
10,8,92.6,2,1
10,9,108.6,2,1
10,14,101.8,2,1
10,15,104.2,2,1
10,4,101.6,2,2
10,5,118.6,2,2
10,10,0.0,2,2
10,11,114.9,2,2
10,16,110.5,2,2
10,17,97.1,2,2
10,18,145.2,2,2
10,19,121.8,2,2
11,0,110.9,2,0
11,1,98.6,2,0
11,6,98.4,2,0
11,7,116.9,2,0
11,12,98.0,2,0
11,13,114.7,2,0
11,2,106.7,2,1
11,3,126.7,2,1
11,8,115.7,2,1
11,9,117.3,2,1
11,14,86.3,2,1
11,15,94.6,2,1
11,4,112.8,2,2
11,5,125.3,2,2
11,10,114.9,2,2
11,11,0.0,2,2
11,16,124.0,2,2
11,17,121.8,2,2
11,18,97.6,2,2
11,19,141.6,2,2
16,0,89.0,2,0
16,1,139.5,2,0
16,6,152.0,2,0
16,7,142.4,2,0
16,12,150.7,2,0
16,13,140.2,2,0
16,2,132.6,2,1
16,3,97.3,2,1
16,8,103.2,2,1
16,9,101.3,2,1
16,14,147.2,2,1
16,15,139.0,2,1
16,4,164.4,2,2
16,5,183.1,2,2
16,10,110.5,2,2
16,11,124.0,2,2
16,16,0.0,2,2
16,17,128.5,2,2
16,18,161.1,2,2
16,19,64.1,2,2
17,0,105.8,2,0
17,1,118.8,2,0
17,6,127.6,2,0
17,7,114.7,2,0
17,12,134.5,2,0
17,13,109.7,2,0
17,2,91.1,2,1
17,3,100.5,2,1
17,8,102.3,2,1
17,9,96.4,2,1
17,14,101.9,2,1
17,15,120.8,2,1
17,4,104.9,2,2
17,5,136.2,2,2
17,10,97.1,2,2
17,11,121.8,2,2
17,16,128.5,2,2
17,17,0.0,2,2
17,18,141.9,2,2
17,19,147.3,2,2
18,0,153.3,2,0
18,1,129.0,2,0
18,6,119.5,2,0
18,7,158.9,2,0
18,12,99.2,2,0
18,13,126.9,2,0
18,2,126.0,2,1
18,3,151.7,2,1
18,8,151.3,2,1
18,9,150.0,2,1
18,14,95.4,2,1
18,15,109.1,2,1
18,4,136.0,2,2
18,5,125.2,2,2
18,10,145.2,2,2
18,11,97.6,2,2
18,16,161.1,2,2
18,17,141.9,2,2
18,18,0.0,2,2
18,19,184.4,2,2
19,0,91.4,2,0
19,1,156.2,2,0
19,6,168.7,2,0
19,7,142.9,2,0
19,12,180.4,2,0
19,13,149.2,2,0
19,2,145.9,2,1
19,3,113.9,2,1
19,8,107.6,2,1
19,9,118.0,2,1
19,14,167.2,2,1
19,15,159.7,2,1
19,4,172.5,2,2
19,5,208.7,2,2
19,10,121.8,2,2
19,11,141.6,2,2
19,16,64.1,2,2
19,17,147.3,2,2
19,18,184.4,2,2
19,19,0.0,2,2
