M,N,K,TILE_M,TILE_N,TILE_K,STAGES,dtype,time_ms,TFLOPS
64,32,131072,64,32,128,5,BF16,0.179664,2.98819
64,32,131072,64,32,128,6,BF16,0.169454,3.16823
64,32,131072,64,32,128,7,BF16,0.174406,3.07828
64,32,131072,64,32,128,8,BF16,0.168237,3.19116
64,32,131072,64,32,256,0,BF16,0.167934,3.19691
64,32,131072,64,32,256,2,BF16,0.241899,2.2194
64,32,131072,64,32,256,3,BF16,0.167115,3.21258
64,32,131072,64,32,256,4,BF16,0.168123,3.19332
# BUILD_FAILED: 64,32,256,5,0
# BUILD_FAILED: 64,32,256,6,0
# BUILD_FAILED: 64,32,256,7,0
# BUILD_FAILED: 64,32,256,8,0
64,64,131072,64,64,16,0,BF16,0.803067,1.33705
64,64,131072,64,64,16,2,BF16,2.59899,0.413139
64,64,131072,64,64,16,3,BF16,1.74991,0.613598
64,64,131072,64,64,16,4,BF16,1.29893,0.826636
64,64,131072,64,64,16,5,BF16,1.0892,0.985811
64,64,131072,64,64,16,6,BF16,0.973558,1.1029
64,64,131072,64,64,16,7,BF16,0.88561,1.21243
64,64,131072,64,64,16,8,BF16,0.840986,1.27677
64,64,131072,64,64,32,0,BF16,0.391581,2.74207
64,64,131072,64,64,32,2,BF16,1.36995,0.783784
64,64,131072,64,64,32,3,BF16,0.936082,1.14706
64,64,131072,64,64,32,4,BF16,0.739979,1.45104
64,64,131072,64,64,32,5,BF16,0.597606,1.79674
64,64,131072,64,64,32,6,BF16,0.521304,2.05972
64,64,131072,64,64,32,7,BF16,0.456402,2.35263
64,64,131072,64,64,32,8,BF16,0.438534,2.44848
64,64,131072,64,64,64,0,BF16,0.214898,4.99653
64,64,131072,64,64,64,2,BF16,0.781947,1.37316
64,64,131072,64,64,64,3,BF16,0.512005,2.09713
64,64,131072,64,64,64,4,BF16,0.38507,2.78843
64,64,131072,64,64,64,5,BF16,0.305912,3.50997
64,64,131072,64,64,64,6,BF16,0.284474,3.77449
64,64,131072,64,64,64,7,BF16,0.255622,4.2005
64,64,131072,64,64,64,8,BF16,0.220875,4.86131
64,64,131072,64,64,128,0,BF16,0.19841,5.41174
64,64,131072,64,64,128,2,BF16,0.494019,2.17348
64,64,131072,64,64,128,3,BF16,0.324381,3.31013
64,64,131072,64,64,128,4,BF16,0.262402,4.09198
64,64,131072,64,64,128,5,BF16,0.231344,4.64132
64,64,131072,64,64,128,6,BF16,0.232821,4.61188
64,64,131072,64,64,128,7,BF16,0.24052,4.46425
# BUILD_FAILED: 64,64,128,8,0
64,64,131072,64,64,256,0,BF16,0.285898,3.75569
64,64,131072,64,64,256,2,BF16,0.340992,3.14888
64,64,131072,64,64,256,3,BF16,0.230624,4.65581
# BUILD_FAILED: 64,64,256,4,0
# BUILD_FAILED: 64,64,256,5,0
# BUILD_FAILED: 64,64,256,6,0
# BUILD_FAILED: 64,64,256,7,0
# BUILD_FAILED: 64,64,256,8,0
64,128,131072,64,128,16,0,BF16,1.02285,2.09951
64,128,131072,64,128,16,2,BF16,3.82241,0.561814
64,128,131072,64,128,16,3,BF16,2.45711,0.873988
64,128,131072,64,128,16,4,BF16,1.94817,1.10231
64,128,131072,64,128,16,5,BF16,1.62218,1.32382
64,128,131072,64,128,16,6,BF16,1.31811,1.62922
64,128,131072,64,128,16,7,BF16,1.13623,1.89
64,128,131072,64,128,16,8,BF16,1.03783,2.0692
64,128,131072,64,128,32,0,BF16,0.515352,4.16702
64,128,131072,64,128,32,2,BF16,1.98431,1.08223
64,128,131072,64,128,32,3,BF16,1.30803,1.64176
64,128,131072,64,128,32,4,BF16,0.988962,2.17145
64,128,131072,64,128,32,5,BF16,0.804829,2.66825
64,128,131072,64,128,32,6,BF16,0.681013,3.15337
64,128,131072,64,128,32,7,BF16,0.627928,3.41995
64,128,131072,64,128,32,8,BF16,0.533958,4.02182
64,128,131072,64,128,64,0,BF16,0.363469,5.9083
64,128,131072,64,128,64,2,BF16,1.05723,2.03124
64,128,131072,64,128,64,3,BF16,0.719082,2.98643
64,128,131072,64,128,64,4,BF16,0.610608,3.51696
64,128,131072,64,128,64,5,BF16,0.442179,4.85659
64,128,131072,64,128,64,6,BF16,0.389522,5.51313
64,128,131072,64,128,64,7,BF16,0.462917,4.63903
64,128,131072,64,128,64,8,BF16,0.384738,5.58168
64,128,131072,64,128,128,0,BF16,0.466549,4.60291
64,128,131072,64,128,128,2,BF16,0.912722,2.35284
64,128,131072,64,128,128,3,BF16,0.492784,4.35786
64,128,131072,64,128,128,4,BF16,0.455386,4.71575
# BUILD_FAILED: 64,128,128,5,0
# BUILD_FAILED: 64,128,128,6,0
# BUILD_FAILED: 64,128,128,7,0
# BUILD_FAILED: 64,128,128,8,0
64,128,131072,64,128,256,0,BF16,0.614555,3.49437
64,128,131072,64,128,256,2,BF16,0.548134,3.9178
# BUILD_FAILED: 64,128,256,3,0
# BUILD_FAILED: 64,128,256,4,0
# BUILD_FAILED: 64,128,256,5,0
# BUILD_FAILED: 64,128,256,6,0
# BUILD_FAILED: 64,128,256,7,0
# BUILD_FAILED: 64,128,256,8,0
64,192,131072,64,192,16,0,BF16,1.39624,2.30707
64,192,131072,64,192,16,2,BF16,4.01197,0.802903
64,192,131072,64,192,16,3,BF16,2.98572,1.07888
64,192,131072,64,192,16,4,BF16,2.23178,1.44334
64,192,131072,64,192,16,5,BF16,2.20115,1.46343
64,192,131072,64,192,16,6,BF16,1.56232,2.06183
64,192,131072,64,192,16,7,BF16,1.46266,2.2023
64,192,131072,64,192,16,8,BF16,1.52622,2.11059
64,192,131072,64,192,32,0,BF16,0.70725,4.55458
64,192,131072,64,192,32,2,BF16,2.41968,1.33126
64,192,131072,64,192,32,3,BF16,1.65611,1.94505
64,192,131072,64,192,32,4,BF16,1.56945,2.05246
64,192,131072,64,192,32,5,BF16,1.16713,2.75996
64,192,131072,64,192,32,6,BF16,1.05269,3.05998
64,192,131072,64,192,32,7,BF16,1.06948,3.01196
64,192,131072,64,192,32,8,BF16,0.74239,4.33899
64,192,131072,64,192,64,0,BF16,0.52485,6.13743
64,192,131072,64,192,64,2,BF16,1.27778,2.52095
64,192,131072,64,192,64,3,BF16,0.853754,3.77302
64,192,131072,64,192,64,4,BF16,0.642582,5.01294
64,192,131072,64,192,64,5,BF16,0.549888,5.85797
64,192,131072,64,192,64,6,BF16,0.550101,5.8557
64,192,131072,64,192,64,7,BF16,0.522754,6.16203
# BUILD_FAILED: 64,192,64,8,0
64,192,131072,64,192,128,0,BF16,0.588642,5.4723
64,192,131072,64,192,128,2,BF16,0.870938,3.69857
64,192,131072,64,192,128,3,BF16,0.583302,5.52239
# BUILD_FAILED: 64,192,128,4,0
# BUILD_FAILED: 64,192,128,5,0
# BUILD_FAILED: 64,192,128,6,0
# BUILD_FAILED: 64,192,128,7,0
# BUILD_FAILED: 64,192,128,8,0
# BUILD_FAILED: 64,192,256,0,0
# BUILD_FAILED: 64,192,256,2,0
# BUILD_FAILED: 64,192,256,3,0
# BUILD_FAILED: 64,192,256,4,0
# BUILD_FAILED: 64,192,256,5,0
# BUILD_FAILED: 64,192,256,6,0
# BUILD_FAILED: 64,192,256,7,0
# BUILD_FAILED: 64,192,256,8,0
64,256,131072,64,256,16,0,BF16,1.69436,2.53487
64,256,131072,64,256,16,2,BF16,4.40494,0.975035
64,256,131072,64,256,16,3,BF16,2.92198,1.46988
64,256,131072,64,256,16,4,BF16,2.45944,1.74632
64,256,131072,64,256,16,5,BF16,1.96785,2.18256
64,256,131072,64,256,16,6,BF16,1.81694,2.36384
64,256,131072,64,256,16,7,BF16,1.81298,2.36901
64,256,131072,64,256,16,8,BF16,1.81248,2.36966
64,256,131072,64,256,32,0,BF16,0.908059,4.72983
64,256,131072,64,256,32,2,BF16,2.40872,1.78309
64,256,131072,64,256,32,3,BF16,1.51092,2.84262
64,256,131072,64,256,32,4,BF16,1.24172,3.45888
64,256,131072,64,256,32,5,BF16,1.01349,4.23778
64,256,131072,64,256,32,6,BF16,0.931768,4.60948
64,256,131072,64,256,32,7,BF16,0.915837,4.68966
64,256,131072,64,256,32,8,BF16,0.916714,4.68518
64,256,131072,64,256,64,0,BF16,0.684739,6.27241
64,256,131072,64,256,64,2,BF16,1.3566,3.16599
64,256,131072,64,256,64,3,BF16,0.957562,4.48532
64,256,131072,64,256,64,4,BF16,0.703107,6.10855
64,256,131072,64,256,64,5,BF16,0.681411,6.30305
# BUILD_FAILED: 64,256,64,6,0
# BUILD_FAILED: 64,256,64,7,0
# BUILD_FAILED: 64,256,64,8,0
64,256,131072,64,256,128,0,BF16,0.993677,4.3223
64,256,131072,64,256,128,2,BF16,0.97877,4.38813
# BUILD_FAILED: 64,256,128,3,0
# BUILD_FAILED: 64,256,128,4,0
# BUILD_FAILED: 64,256,128,5,0
# BUILD_FAILED: 64,256,128,6,0
# BUILD_FAILED: 64,256,128,7,0
# BUILD_FAILED: 64,256,128,8,0
# BUILD_FAILED: 64,256,256,0,0
# BUILD_FAILED: 64,256,256,2,0
# BUILD_FAILED: 64,256,256,3,0
# BUILD_FAILED: 64,256,256,4,0
# BUILD_FAILED: 64,256,256,5,0
# BUILD_FAILED: 64,256,256,6,0
# BUILD_FAILED: 64,256,256,7,0
# BUILD_FAILED: 64,256,256,8,0
128,16,131072,128,16,16,0,BF16,0.772253,0.695201
128,16,131072,128,16,16,2,BF16,3.39038,0.158351
128,16,131072,128,16,16,3,BF16,2.29819,0.233606
128,16,131072,128,16,16,4,BF16,1.71623,0.31282
128,16,131072,128,16,16,5,BF16,1.46416,0.366675
128,16,131072,128,16,16,6,BF16,1.16877,0.459346
128,16,131072,128,16,16,7,BF16,1.04516,0.513671
128,16,131072,128,16,16,8,BF16,1.06654,0.503376
128,16,131072,128,16,32,0,BF16,0.399298,1.34454
128,16,131072,128,16,32,2,BF16,1.96559,0.273135
128,16,131072,128,16,32,3,BF16,1.21829,0.440674
128,16,131072,128,16,32,4,BF16,0.902536,0.594847
128,16,131072,128,16,32,5,BF16,0.876874,0.612256
128,16,131072,128,16,32,6,BF16,0.78016,0.688155
128,16,131072,128,16,32,7,BF16,0.741963,0.723582
128,16,131072,128,16,32,8,BF16,0.794006,0.676154
128,16,131072,128,16,64,0,BF16,0.300243,1.78812
128,16,131072,128,16,64,2,BF16,1.14659,0.468232
128,16,131072,128,16,64,3,BF16,0.805003,0.666918
128,16,131072,128,16,64,4,BF16,0.665658,0.806527
128,16,131072,128,16,64,5,BF16,0.592037,0.90682
128,16,131072,128,16,64,6,BF16,0.418546,1.28271
128,16,131072,128,16,64,7,BF16,0.409334,1.31157
128,16,131072,128,16,64,8,BF16,0.450061,1.19289
128,16,131072,128,16,128,0,BF16,0.345686,1.55306
128,16,131072,128,16,128,2,BF16,0.758314,0.70798
128,16,131072,128,16,128,3,BF16,0.50271,1.06795
128,16,131072,128,16,128,4,BF16,0.492888,1.08924
128,16,131072,128,16,128,5,BF16,0.385166,1.39387
128,16,131072,128,16,128,6,BF16,0.269963,1.98868
# BUILD_FAILED: 128,16,128,7,0
# BUILD_FAILED: 128,16,128,8,0
128,16,131072,128,16,256,0,BF16,0.368702,1.45611
128,16,131072,128,16,256,2,BF16,0.523576,1.02539
128,16,131072,128,16,256,3,BF16,0.324042,1.6568
# BUILD_FAILED: 128,16,256,4,0
# BUILD_FAILED: 128,16,256,5,0
# BUILD_FAILED: 128,16,256,6,0
# BUILD_FAILED: 128,16,256,7,0
# BUILD_FAILED: 128,16,256,8,0
128,32,131072,128,32,16,0,BF16,0.860973,1.24713
128,32,131072,128,32,16,2,BF16,4.3332,0.247794
128,32,131072,128,32,16,3,BF16,2.73359,0.392795
128,32,131072,128,32,16,4,BF16,2.3407,0.458727
128,32,131072,128,32,16,5,BF16,1.85306,0.579444
128,32,131072,128,32,16,6,BF16,1.70718,0.628956
128,32,131072,128,32,16,7,BF16,1.56393,0.686568
128,32,131072,128,32,16,8,BF16,1.39849,0.767787
128,32,131072,128,32,32,0,BF16,0.42768,2.51062
128,32,131072,128,32,32,2,BF16,2.2519,0.476817
128,32,131072,128,32,32,3,BF16,1.54182,0.696412
128,32,131072,128,32,32,4,BF16,1.18272,0.907857
128,32,131072,128,32,32,5,BF16,0.973578,1.10288
128,32,131072,128,32,32,6,BF16,0.875187,1.22687
128,32,131072,128,32,32,7,BF16,0.702323,1.52884
128,32,131072,128,32,32,8,BF16,0.691595,1.55256
128,32,131072,128,32,64,0,BF16,0.317854,3.37809
128,32,131072,128,32,64,2,BF16,1.17375,0.914794
128,32,131072,128,32,64,3,BF16,0.827032,1.29831
128,32,131072,128,32,64,4,BF16,0.63901,1.68032
128,32,131072,128,32,64,5,BF16,0.691699,1.55232
128,32,131072,128,32,64,6,BF16,0.492363,2.18079
128,32,131072,128,32,64,7,BF16,0.426373,2.51832
128,32,131072,128,32,64,8,BF16,0.379323,2.83068
128,32,131072,128,32,128,0,BF16,0.374896,2.86411
128,32,131072,128,32,128,2,BF16,0.776373,1.38302
128,32,131072,128,32,128,3,BF16,0.558949,1.921
128,32,131072,128,32,128,4,BF16,0.387378,2.77182
128,32,131072,128,32,128,5,BF16,0.338085,3.17595
# BUILD_FAILED: 128,32,128,6,0
# BUILD_FAILED: 128,32,128,7,0
# BUILD_FAILED: 128,32,128,8,0
128,32,131072,128,32,256,0,BF16,0.503197,2.13384
128,32,131072,128,32,256,2,BF16,0.520114,2.06444
# BUILD_FAILED: 128,32,256,3,0
# BUILD_FAILED: 128,32,256,4,0
# BUILD_FAILED: 128,32,256,5,0
# BUILD_FAILED: 128,32,256,6,0
# BUILD_FAILED: 128,32,256,7,0
# BUILD_FAILED: 128,32,256,8,0
128,64,131072,128,64,16,0,BF16,1.02549,2.0941
128,64,131072,128,64,16,2,BF16,4.40311,0.48772
128,64,131072,128,64,16,3,BF16,3.03124,0.70845
128,64,131072,128,64,16,4,BF16,2.36671,0.907369
128,64,131072,128,64,16,5,BF16,1.99884,1.07437
128,64,131072,128,64,16,6,BF16,1.73359,1.23875
128,64,131072,128,64,16,7,BF16,1.41555,1.51707
128,64,131072,128,64,16,8,BF16,1.35859,1.58068
128,64,131072,128,64,32,0,BF16,0.509918,4.21143
128,64,131072,128,64,32,2,BF16,2.28673,0.939107
128,64,131072,128,64,32,3,BF16,1.59351,1.34765
128,64,131072,128,64,32,4,BF16,1.30963,1.63977
128,64,131072,128,64,32,5,BF16,1.06445,2.01746
128,64,131072,128,64,32,6,BF16,0.983027,2.18456
128,64,131072,128,64,32,7,BF16,0.870643,2.46655
128,64,131072,128,64,32,8,BF16,0.765336,2.80594
128,64,131072,128,64,64,0,BF16,0.433547,4.95329
128,64,131072,128,64,64,2,BF16,1.31546,1.6325
128,64,131072,128,64,64,3,BF16,0.875731,2.45222
128,64,131072,128,64,64,4,BF16,0.673088,3.19049
128,64,131072,128,64,64,5,BF16,0.556792,3.85689
128,64,131072,128,64,64,6,BF16,0.52649,4.07887
128,64,131072,128,64,64,7,BF16,0.45567,4.7128
128,64,131072,128,64,64,8,BF16,0.410995,5.22508
128,64,131072,128,64,128,0,BF16,0.466626,4.60216
128,64,131072,128,64,128,2,BF16,0.975926,2.20046
128,64,131072,128,64,128,3,BF16,0.557931,3.84901
128,64,131072,128,64,128,4,BF16,0.527573,4.0705
# BUILD_FAILED: 128,64,128,5,0
# BUILD_FAILED: 128,64,128,6,0
# BUILD_FAILED: 128,64,128,7,0
# BUILD_FAILED: 128,64,128,8,0
128,64,131072,128,64,256,0,BF16,0.579683,3.70458
128,64,131072,128,64,256,2,BF16,0.614115,3.49687
# BUILD_FAILED: 128,64,256,3,0
# BUILD_FAILED: 128,64,256,4,0
# BUILD_FAILED: 128,64,256,5,0
# BUILD_FAILED: 128,64,256,6,0
# BUILD_FAILED: 128,64,256,7,0
# BUILD_FAILED: 128,64,256,8,0
128,128,131072,128,128,16,0,BF16,1.34781,3.18663
128,128,131072,128,128,16,2,BF16,4.92648,0.871812
128,128,131072,128,128,16,3,BF16,3.58447,1.19821
128,128,131072,128,128,16,4,BF16,2.80391,1.53178
128,128,131072,128,128,16,5,BF16,2.22062,1.93413
128,128,131072,128,128,16,6,BF16,2.03239,2.11326
128,128,131072,128,128,16,7,BF16,1.8546,2.31585
128,128,131072,128,128,16,8,BF16,1.66665,2.577
128,128,131072,128,128,32,0,BF16,0.687027,6.25152
128,128,131072,128,128,32,2,BF16,2.7869,1.54113
128,128,131072,128,128,32,3,BF16,1.92358,2.2328
128,128,131072,128,128,32,4,BF16,1.58021,2.71797
128,128,131072,128,128,32,5,BF16,1.32445,3.24282
128,128,131072,128,128,32,6,BF16,1.15128,3.73061
128,128,131072,128,128,32,7,BF16,1.10949,3.87112
128,128,131072,128,128,32,8,BF16,0.949227,4.5247
128,128,131072,128,128,64,0,BF16,0.568171,7.55928
128,128,131072,128,128,64,2,BF16,1.53409,2.79969
128,128,131072,128,128,64,3,BF16,1.04905,4.09413
128,128,131072,128,128,64,4,BF16,0.800853,5.36299
128,128,131072,128,128,64,5,BF16,0.674621,6.36649
128,128,131072,128,128,64,6,BF16,0.594184,7.22835
128,128,131072,128,128,64,7,BF16,0.508272,8.45014
# BUILD_FAILED: 128,128,64,8,0
128,128,131072,128,128,128,0,BF16,0.64484,6.66052
128,128,131072,128,128,128,2,BF16,0.911966,4.70957
128,128,131072,128,128,128,3,BF16,0.640691,6.70365
# BUILD_FAILED: 128,128,128,4,0
# BUILD_FAILED: 128,128,128,5,0
# BUILD_FAILED: 128,128,128,6,0
# BUILD_FAILED: 128,128,128,7,0
# BUILD_FAILED: 128,128,128,8,0
# BUILD_FAILED: 128,128,256,0,0
# BUILD_FAILED: 128,128,256,2,0
# BUILD_FAILED: 128,128,256,3,0
# BUILD_FAILED: 128,128,256,4,0
# BUILD_FAILED: 128,128,256,5,0
# BUILD_FAILED: 128,128,256,6,0
# BUILD_FAILED: 128,128,256,7,0
# BUILD_FAILED: 128,128,256,8,0
128,192,131072,128,192,16,0,BF16,1.7242,3.73649
128,192,131072,128,192,16,2,BF16,5.53819,1.16328
128,192,131072,128,192,16,3,BF16,3.91373,1.64611
128,192,131072,128,192,16,4,BF16,3.15509,2.04192
128,192,131072,128,192,16,5,BF16,2.59482,2.48281
128,192,131072,128,192,16,6,BF16,2.22985,2.88918
128,192,131072,128,192,16,7,BF16,2.11677,3.04352
128,192,131072,128,192,16,8,BF16,1.90396,3.38371
128,192,131072,128,192,32,0,BF16,0.877237,7.34403
128,192,131072,128,192,32,2,BF16,3.04402,2.11643
128,192,131072,128,192,32,3,BF16,2.07098,3.11083
128,192,131072,128,192,32,4,BF16,1.588,4.05695
128,192,131072,128,192,32,5,BF16,1.33678,4.81938
128,192,131072,128,192,32,6,BF16,1.18097,5.4552
128,192,131072,128,192,32,7,BF16,1.12021,5.75112
128,192,131072,128,192,32,8,BF16,1.00832,6.38929
128,192,131072,128,192,64,0,BF16,0.732446,8.7958
128,192,131072,128,192,64,2,BF16,1.59289,4.04451
128,192,131072,128,192,64,3,BF16,1.12093,5.74743
128,192,131072,128,192,64,4,BF16,0.865805,7.441
128,192,131072,128,192,64,5,BF16,0.740821,8.69637
# BUILD_FAILED: 128,192,64,6,0
# BUILD_FAILED: 128,192,64,7,0
# BUILD_FAILED: 128,192,64,8,0
128,192,131072,128,192,128,0,BF16,1.09595,5.87842
128,192,131072,128,192,128,2,BF16,1.10738,5.81773
# BUILD_FAILED: 128,192,128,3,0
# BUILD_FAILED: 128,192,128,4,0
# BUILD_FAILED: 128,192,128,5,0
# BUILD_FAILED: 128,192,128,6,0
# BUILD_FAILED: 128,192,128,7,0
# BUILD_FAILED: 128,192,128,8,0
# BUILD_FAILED: 128,192,256,0,0
# BUILD_FAILED: 128,192,256,2,0
# BUILD_FAILED: 128,192,256,3,0
# BUILD_FAILED: 128,192,256,4,0
# BUILD_FAILED: 128,192,256,5,0
# BUILD_FAILED: 128,192,256,6,0
# BUILD_FAILED: 128,192,256,7,0
# BUILD_FAILED: 128,192,256,8,0
128,256,131072,128,256,16,0,BF16,2.02412,4.24379
128,256,131072,128,256,16,2,BF16,6.25505,1.37328
128,256,131072,128,256,16,3,BF16,4.44812,1.93114
128,256,131072,128,256,16,4,BF16,3.49666,2.45661
128,256,131072,128,256,16,5,BF16,3.12169,2.75169
128,256,131072,128,256,16,6,BF16,2.56322,3.35123
128,256,131072,128,256,16,7,BF16,2.40855,3.56643
128,256,131072,128,256,16,8,BF16,2.33381,3.68065
128,256,131072,128,256,32,0,BF16,1.09568,7.83979
128,256,131072,128,256,32,2,BF16,3.04231,2.82349
128,256,131072,128,256,32,3,BF16,2.17261,3.95374
128,256,131072,128,256,32,4,BF16,1.76155,4.87636
128,256,131072,128,256,32,5,BF16,1.41116,6.08713
128,256,131072,128,256,32,6,BF16,1.27684,6.7275
128,256,131072,128,256,32,7,BF16,1.20032,7.15637
128,256,131072,128,256,32,8,BF16,1.12342,7.64625
128,256,131072,128,256,64,0,BF16,0.907718,9.46322
128,256,131072,128,256,64,2,BF16,1.74275,4.92896
128,256,131072,128,256,64,3,BF16,1.2123,7.08566
128,256,131072,128,256,64,4,BF16,0.914683,9.39116
# BUILD_FAILED: 128,256,64,5,0
# BUILD_FAILED: 128,256,64,6,0
# BUILD_FAILED: 128,256,64,7,0
# BUILD_FAILED: 128,256,64,8,0
128,256,131072,128,256,128,0,BF16,1.21019,7.09802
128,256,131072,128,256,128,2,BF16,1.27336,6.74586
# BUILD_FAILED: 128,256,128,3,0
# BUILD_FAILED: 128,256,128,4,0
# BUILD_FAILED: 128,256,128,5,0
# BUILD_FAILED: 128,256,128,6,0
# BUILD_FAILED: 128,256,128,7,0
# BUILD_FAILED: 128,256,128,8,0
# BUILD_FAILED: 128,256,256,0,0
# BUILD_FAILED: 128,256,256,2,0
# BUILD_FAILED: 128,256,256,3,0
# BUILD_FAILED: 128,256,256,4,0
# BUILD_FAILED: 128,256,256,5,0
# BUILD_FAILED: 128,256,256,6,0
# BUILD_FAILED: 128,256,256,7,0
# BUILD_FAILED: 128,256,256,8,0
64,16,131072,64,16,32,0,FP8_E4M3,0.389051,0.689975
64,16,131072,64,16,32,2,FP8_E4M3,0.772086,0.347675
64,16,131072,64,16,32,3,FP8_E4M3,0.530018,0.506465
64,16,131072,64,16,32,4,FP8_E4M3,0.425848,0.630355
64,16,131072,64,16,32,5,FP8_E4M3,0.439155,0.611254
64,16,131072,64,16,32,6,FP8_E4M3,0.390109,0.688104
64,16,131072,64,16,32,7,FP8_E4M3,0.388082,0.691698
64,16,131072,64,16,32,8,FP8_E4M3,0.394067,0.681192
64,16,131072,64,16,64,0,FP8_E4M3,0.207888,1.29125
64,16,131072,64,16,64,2,FP8_E4M3,0.423702,0.633547
64,16,131072,64,16,64,3,FP8_E4M3,0.275485,0.974411
64,16,131072,64,16,64,4,FP8_E4M3,0.20759,1.2931
64,16,131072,64,16,64,5,FP8_E4M3,0.200368,1.33971
64,16,131072,64,16,64,6,FP8_E4M3,0.207398,1.2943
64,16,131072,64,16,64,7,FP8_E4M3,0.20141,1.33278
64,16,131072,64,16,64,8,FP8_E4M3,0.207558,1.2933
64,16,131072,64,16,128,0,FP8_E4M3,0.110866,2.42127
64,16,131072,64,16,128,2,FP8_E4M3,0.242253,1.10808
64,16,131072,64,16,128,3,FP8_E4M3,0.170701,1.57255
64,16,131072,64,16,128,4,FP8_E4M3,0.132734,2.02235
64,16,131072,64,16,128,5,FP8_E4M3,0.10272,2.61327
64,16,131072,64,16,128,6,FP8_E4M3,0.106512,2.52024
64,16,131072,64,16,128,7,FP8_E4M3,0.109021,2.46224
64,16,131072,64,16,128,8,FP8_E4M3,0.11316,2.37218
64,16,131072,64,16,256,0,FP8_E4M3,0.0966976,2.77603
64,16,131072,64,16,256,2,FP8_E4M3,0.171389,1.56624
