Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,SS,1,128,256,16,256,32917163,128.5827,8154.876200297553
BF16,SS,2,128,64,16,16,556661,34.7913,7534.757252531524
BF16,SS,2,128,64,16,32,957278,29.9149,8762.99101785398
BF16,SS,2,128,64,16,64,1757278,27.4575,9547.2639533825
BF16,SS,2,128,64,16,128,3357278,26.2287,9994.547957008925
BF16,SS,2,128,64,16,256,6557278,25.6144,10234.243238178524
BF16,SS,2,128,80,16,16,592411,37.0257,8850.069006122774
BF16,SS,2,128,80,16,32,1025030,32.0322,10229.706357977284
BF16,SS,2,128,80,16,64,1889030,29.5161,11101.737695698279
BF16,SS,2,128,80,16,128,3617030,28.258,11596.008210064407
BF16,SS,2,128,80,16,256,7073030,27.629,11860.002171631257
BF16,SS,2,128,96,16,16,628411,39.2757,10011.68661538814
BF16,SS,2,128,96,16,32,1093030,34.1572,11511.950628271637
BF16,SS,2,128,96,16,64,2021030,31.5786,12451.976971746688
BF16,SS,2,128,96,16,128,3877030,30.2893,12982.01014879842
BF16,SS,2,128,96,16,256,7589030,29.6446,13264.338193127922
BF16,SS,2,128,112,16,16,650411,40.6507,11285.217720728057
BF16,SS,2,128,112,16,32,1131030,35.3447,12979.371730415025
BF16,SS,2,128,112,16,64,2091030,32.6723,14041.007214062065
BF16,SS,2,128,112,16,128,4011030,31.3362,14639.681901443058
BF16,SS,2,128,112,16,256,7848550,30.6584,14963.337943271665
BF16,SS,2,128,128,16,16,684411,42.7757,12256.67844126455
BF16,SS,2,128,128,16,32,1196906,37.4033,14017.15891378568
BF16,SS,2,128,128,16,64,2220906,34.7017,15108.424082969997
BF16,SS,2,128,128,16,128,4268906,33.3508,15720.40250908524
BF16,SS,2,128,128,16,256,8360884,32.6597,16053.056213008693
BF16,SS,2,128,256,16,16,1196411,74.7757,14022.951306373594
BF16,SS,2,128,256,16,32,2220906,69.4033,15108.445851998391
BF16,SS,2,128,256,16,64,4268906,66.7017,15720.378940866574
BF16,SS,2,128,256,16,128,8364658,65.3489,16045.809493350309
BF16,SS,2,128,256,16,256,16556658,64.6744,16213.153890874904
BF16,SS,2,256,64,16,16,853411,53.3382,9829.503057845972
BF16,SS,2,256,64,16,32,1541906,48.1846,10880.820843173959
BF16,SS,2,256,64,16,64,2917906,45.5923,11499.485658762555
BF16,SS,2,256,64,16,128,5669906,44.2961,11835.985560805579
BF16,SS,2,256,64,16,256,11173904,43.6481,12011.702685798466
BF16,SS,2,256,80,16,16,897411,56.0882,11684.454127606163
BF16,SS,2,256,80,16,32,1622030,50.6884,12929.190899693027
BF16,SS,2,256,80,16,64,3074030,48.0317,13644.322395418027
BF16,SS,2,256,80,16,128,5974030,46.6721,14041.793705447151
BF16,SS,2,256,80,16,256,11778278,46.0089,14244.20057858371
BF16,SS,2,256,96,16,16,963411,60.2132,13060.79065719809
BF16,SS,2,256,96,16,32,1754030,54.8134,14347.44058934494
BF16,SS,2,256,96,16,64,3332030,52.063,15105.391544859112
BF16,SS,2,256,96,16,128,6490030,50.7034,15510.439142148258
BF16,SS,2,256,96,16,256,12804274,50.0167,15723.388388278316
BF16,SS,2,256,112,16,16,1073411,67.0882,13676.086107542013
BF16,SS,2,256,112,16,32,1970030,61.5634,14903.40039698912
BF16,SS,2,256,112,16,64,3762030,58.7817,15608.667323333622
BF16,SS,2,256,112,16,128,7346030,57.3909,15986.924756363813
BF16,SS,2,256,112,16,256,14514276,56.6964,16182.755871625008
BF16,SS,2,256,128,16,16,1201661,75.1038,13961.690353883558
BF16,SS,2,256,128,16,32,2226278,69.5712,15071.983809392392
BF16,SS,2,256,128,16,64,4274280,66.7856,15700.630075944515
BF16,SS,2,256,128,16,128,8369780,65.3889,16035.993876636552
BF16,SS,2,256,128,16,256,16561780,64.6945,16208.116609603598
BF16,SS,2,256,256,16,16,2225411,139.0882,15077.857071987415
BF16,SS,2,256,256,16,32,4273906,133.5596,15701.993716662824
BF16,SS,2,256,256,16,64,8369658,130.7759,16036.226858312579
BF16,SS,2,256,256,16,128,16561658,129.388,16208.241877144712
BF16,SS,2,256,256,16,256,32945646,128.6939,16295.65970104255
BF16,TS,1,64,64,16,16,628421,39.2763,3337.177890992787
BF16,TS,1,64,64,16,32,1140791,35.6497,3676.664880770385
BF16,TS,1,64,64,16,64,2164791,33.8249,3875.0151515599455
BF16,TS,1,64,64,16,128,4212791,32.9124,3982.450383442107
BF16,TS,1,64,64,16,256,8307673,32.4518,4038.9747255930333
BF16,TS,1,64,80,16,16,756668,47.2918,3464.448382171962
BF16,TS,1,64,80,16,32,1397287,43.6652,3752.1870963604883
BF16,TS,1,64,80,16,64,2677287,41.8326,3916.5626807800613
BF16,TS,1,64,80,16,128,5237287,40.9163,4004.2721360435817
BF16,TS,1,64,80,16,256,10357037,40.4572,4049.711794192381
BF16,TS,1,64,96,16,16,884668,55.2918,3555.8256377980097
BF16,TS,1,64,96,16,32,1653287,51.6652,3805.424153975984
BF16,TS,1,64,96,16,64,3189287,49.8326,3945.3690957325125
BF16,TS,1,64,96,16,128,6261287,48.9163,4019.273739019509
BF16,TS,1,64,96,16,256,12405037,48.4572,4057.3537059508185
BF16,TS,1,64,112,16,16,1012668,63.2918,3624.102964365052
BF16,TS,1,64,112,16,32,1909287,59.6652,3844.3850016424985
BF16,TS,1,64,112,16,64,3701287,57.8326,3966.2059115446996
BF16,TS,1,64,112,16,128,7285287,56.9163,4030.0581731419647
BF16,TS,1,64,112,16,256,14453037,56.4572,4062.829895921158
BF16,TS,1,64,128,16,16,1140670,71.2919,3677.0516706666535
BF16,TS,1,64,128,16,32,2165287,67.6652,3874.133232444447
BF16,TS,1,64,128,16,64,4213289,65.8326,3981.978533431765
BF16,TS,1,64,128,16,128,8309535,64.9182,4038.0663665967327
BF16,TS,1,64,128,16,256,16501535,64.4591,4066.826871613162
BF16,TS,1,64,256,16,16,2164670,135.2919,3875.235694080725
BF16,TS,1,64,256,16,32,4213287,131.6652,3981.978533431765
BF16,TS,1,64,256,16,64,8309535,129.8365,4038.0632564802654
BF16,TS,1,64,256,16,128,16501535,128.9182,4066.826871613162
BF16,TS,1,64,256,16,256,32885535,128.4591,4081.361304882254
BF16,TS,1,128,64,16,16,628421,39.2763,6674.355781985574
BF16,TS,1,128,64,16,32,1140791,35.6497,7353.32976154077
BF16,TS,1,128,64,16,64,2164791,33.8249,7750.030303119891
BF16,TS,1,128,64,16,128,4212791,32.9124,7964.900766884214
BF16,TS,1,128,64,16,256,8307673,32.4518,8077.949451186067
BF16,TS,1,128,80,16,16,756420,47.2762,6931.183132316049
BF16,TS,1,128,80,16,32,1396915,43.6536,7506.368317847784
BF16,TS,1,128,80,16,64,2676915,41.8268,7834.2115581397575
BF16,TS,1,128,80,16,128,5236915,40.9134,8009.111929099024
BF16,TS,1,128,80,16,256,10356913,40.4567,8099.523688288961
BF16,TS,1,128,96,16,16,884420,55.2762,7113.658319493742
BF16,TS,1,128,96,16,32,1652915,51.6536,7612.557498412502
BF16,TS,1,128,96,16,64,3188915,49.8268,7891.65669880466
BF16,TS,1,128,96,16,128,6260915,48.9134,8039.024071113437
BF16,TS,1,128,96,16,256,12404913,48.4567,8114.79114343321
BF16,TS,1,128,112,16,16,1012420,63.2762,7249.992888321359
BF16,TS,1,128,112,16,32,1908915,59.6536,7690.265130687838
BF16,TS,1,128,112,16,64,3700915,57.8268,7933.207440148859
BF16,TS,1,128,112,16,128,7284915,56.9134,8060.527046354637
BF16,TS,1,128,112,16,256,14452913,56.4567,8125.731755486949
BF16,TS,1,128,128,16,16,1140421,71.2763,7355.712908778934
BF16,TS,1,128,128,16,32,2164913,67.6535,7749.606450516234
BF16,TS,1,128,128,16,64,4212915,65.8268,7964.658771199572
BF16,TS,1,128,128,16,128,8309161,64.9153,8076.49352309856
BF16,TS,1,128,128,16,256,16501161,64.4577,8133.830403504934
BF16,TS,1,128,256,16,16,2164421,135.2763,7751.365168917246
BF16,TS,1,128,256,16,32,4212791,131.6497,7964.894716812875
BF16,TS,1,128,256,16,64,8307673,129.8074,8077.9370051322185
BF16,TS,1,128,256,16,128,16499673,128.9037,8134.568674134258
BF16,TS,1,128,256,16,256,32883673,128.4518,8163.186502641458
BF16,TS,2,128,64,16,16,423417,26.4636,9905.832917668042
BF16,TS,2,128,64,16,32,696160,21.755,12049.827625833143
BF16,TS,2,128,64,16,64,1240160,19.3775,13528.267320345762
BF16,TS,2,128,64,16,128,2328160,18.1887,14412.464882042146
BF16,TS,2,128,64,16,256,4504160,17.5944,14899.286136497976
BF16,TS,2,128,80,16,16,473667,29.6042,11068.699711527419
BF16,TS,2,128,80,16,32,794284,24.8214,13201.511598862271
BF16,TS,2,128,80,16,64,1434286,22.4107,14621.58700977658
BF16,TS,2,128,80,16,128,2714286,21.2054,15452.667716713666
BF16,TS,2,128,80,16,256,5274286,20.6027,15904.711518393222
BF16,TS,2,128,96,16,16,537667,33.6042,11701.394468548575
BF16,TS,2,128,96,16,32,922284,28.8214,13643.195680987044
BF16,TS,2,128,96,16,64,1690286,26.4107,14888.511095881595
BF16,TS,2,128,96,16,128,3226286,25.2054,15600.46656668809
BF16,TS,2,128,96,16,256,6298286,24.6027,15982.63605214062
BF16,TS,2,128,112,16,16,601667,37.6042,12199.488355024174
BF16,TS,2,128,112,16,32,1050284,32.8214,13977.222178212996
BF16,TS,2,128,112,16,64,1946286,30.4107,15085.21671648466
BF16,TS,2,128,112,16,128,3738286,29.2054,15707.780068069604
BF16,TS,2,128,112,16,256,7322286,28.6027,16038.765571082451
BF16,TS,2,128,128,16,16,665417,41.5886,12606.531597601266
BF16,TS,2,128,128,16,32,1177910,36.8097,14243.202199420262
BF16,TS,2,128,128,16,64,2201912,34.4049,15238.759595290207
BF16,TS,2,128,128,16,128,4249912,33.2024,15790.66573500711
BF16,TS,2,128,128,16,256,8339954,32.5779,16093.363906206354
BF16,TS,2,128,256,16,16,1177417,73.5886,14249.16359327396
BF16,TS,2,128,256,16,32,2201910,68.8097,15238.781741527719
BF16,TS,2,128,256,16,64,4249912,66.4049,15790.641955638815
BF16,TS,2,128,256,16,128,8345912,65.2024,16081.862017349054
BF16,TS,2,128,256,16,256,16537912,64.6012,16231.525110988649
BF16,TS,2,256,64,16,16,657417,41.0886,12759.93827971749
BF16,TS,2,256,64,16,32,1169910,36.5597,14340.599074937705
BF16,TS,2,256,64,16,64,2193912,34.2799,15294.326996286454
BF16,TS,2,256,64,16,128,4241912,33.1399,15820.446048418977
BF16,TS,2,256,64,16,256,8331954,32.5467,16108.791367481188
BF16,TS,2,256,80,16,16,785667,49.1042,13346.312535383939
BF16,TS,2,256,80,16,32,1426284,44.5714,14703.599168973828
BF16,TS,2,256,80,16,64,2706286,42.2857,15498.38361431879
BF16,TS,2,256,80,16,128,5266286,41.1429,15928.87229631358
BF16,TS,2,256,80,16,256,10385790,40.5695,16154.00732077053
BF16,TS,2,256,96,16,16,913667,57.1042,13771.876674570347
BF16,TS,2,256,96,16,32,1682284,52.5714,14959.312477887217
BF16,TS,2,256,96,16,64,3218286,50.2857,15639.277170249197
BF16,TS,2,256,96,16,128,6290286,49.1429,16002.962788113848
BF16,TS,2,256,96,16,256,12433790,48.5695,16191.889972101833
BF16,TS,2,256,112,16,16,1041667,65.1042,14092.854224458635
BF16,TS,2,256,112,16,32,1938284,60.5714,15147.478843150398
BF16,TS,2,256,112,16,64,3730286,58.2857,15741.49405428776
BF16,TS,2,256,112,16,128,7314286,57.1429,16056.307957769033
BF16,TS,2,256,112,16,256,14481790,56.5695,16219.057972935947
BF16,TS,2,256,128,16,16,1169417,73.0886,14346.642294420744
BF16,TS,2,256,128,16,32,2194160,68.5675,15292.609472417691
BF16,TS,2,256,128,16,64,4242160,66.2837,15819.515205095673
BF16,TS,2,256,128,16,128,8337168,65.1341,16098.725552360436
BF16,TS,2,256,128,16,256,16529168,64.5671,16240.097510961466
BF16,TS,2,256,256,16,16,2193417,137.0886,15297.785519729574
BF16,TS,2,256,256,16,32,4241910,132.5597,15820.434113837011
BF16,TS,2,256,256,16,64,8337912,130.2799,16097.279779920003
BF16,TS,2,256,256,16,128,16529912,129.1399,16239.380702633343
BF16,TS,2,256,256,16,256,32913912,128.57,16311.363459593997
E4M3,SS,1,64,64,32,32,1157039,36.1575,7250.058770656157
E4M3,SS,1,64,64,32,64,2181039,34.0787,7692.312206744976
E4M3,SS,1,64,64,32,128,4229039,33.0394,7934.284520905343
E4M3,SS,1,64,64,32,256,8325409,32.5211,8060.735952965922
E4M3,SS,1,64,64,32,512,16523363,32.2722,8122.904543229158
E4M3,SS,1,64,80,32,32,1413163,44.1613,7420.071419998959
E4M3,SS,1,64,80,32,64,2693163,42.0807,7786.9427077021055
E4M3,SS,1,64,80,32,128,5253163,41.0403,7984.347092979339
E4M3,SS,1,64,80,32,256,10372539,40.5177,8087.329734905979
E4M3,SS,1,64,80,32,512,20618495,40.2705,8136.973715250618
E4M3,SS,1,64,96,32,32,1669163,52.1613,7538.462423290831
E4M3,SS,1,64,96,32,64,3205163,50.0807,7851.647441030177
E4M3,SS,1,64,96,32,128,6277163,49.0403,8018.221748235635
E4M3,SS,1,64,96,32,256,12420539,48.5177,8104.588634663226
E4M3,SS,1,64,96,32,512,24714497,48.2705,8146.093369656415
E4M3,SS,1,64,112,32,32,1925163,60.1613,7625.367138010648
E4M3,SS,1,64,112,32,64,3717163,58.0807,7898.527393781411
E4M3,SS,1,64,112,32,128,7301163,57.0403,8042.594446382645
E4M3,SS,1,64,112,32,256,14468539,56.5177,8116.961589024324
E4M3,SS,1,64,112,32,512,28810987,56.2715,8152.475053979368
E4M3,SS,1,64,128,32,32,2181039,68.1575,7692.300920661703
E4M3,SS,1,64,128,32,64,4229039,66.0787,7934.296528230731
E4M3,SS,1,64,128,32,128,8325399,65.0422,8060.735952965922
E4M3,SS,1,64,128,32,256,16517153,64.5201,8125.963846925222
E4M3,SS,1,64,128,32,512,32906365,64.2702,8157.559802210044
E4M3,SS,1,64,256,32,32,4229039,132.1575,7934.290524563495
E4M3,SS,1,64,256,32,64,8319061,129.9853,8066.881408897776
E4M3,SS,1,64,256,32,128,16517409,129.0423,8125.831607155173
E4M3,SS,1,64,256,32,256,32901409,128.5211,8158.784822103142
E4M3,SS,1,64,256,32,512,65674369,128.2703,8174.737254064269
E4M3,SS,1,128,64,32,32,1669039,52.1575,10052.015529885442
E4M3,SS,1,128,64,32,64,3205039,50.0787,10469.281351153286
E4M3,SS,1,128,64,32,128,6277039,49.0394,10691.158537828765
E4M3,SS,1,128,64,32,256,12421409,48.5211,10805.360966672231
E4M3,SS,1,128,64,32,512,24715363,48.2722,10861.075318713463
E4M3,SS,1,128,80,32,32,1801163,56.2863,11643.330615087509
E4M3,SS,1,128,80,32,64,3465163,54.1432,12104.197757059059
E4M3,SS,1,128,80,32,128,6793163,53.0716,12348.60075822097
E4M3,SS,1,128,80,32,256,13448539,52.5334,12475.111072194071
E4M3,SS,1,128,80,32,512,26766243,52.2778,12536.10519187877
E4M3,SS,1,128,96,32,32,1933163,60.4113,13017.961871371748
E4M3,SS,1,128,96,32,64,3725163,58.2057,13511.254052438164
E4M3,SS,1,128,96,32,128,7309163,57.1028,13772.21432223989
E4M3,SS,1,128,96,32,256,14476291,56.548,13907.335361109146
E4M3,SS,1,128,96,32,512,28819241,56.2876,13971.674045438072
E4M3,SS,1,128,112,32,32,2065163,64.5363,14216.86709650228
E4M3,SS,1,128,112,32,64,3985163,62.2682,14734.71210023736
E4M3,SS,1,128,112,32,128,7823173,61.1185,15011.886744602698
E4M3,SS,1,128,112,32,256,15504539,60.5646,15149.179553732709
E4M3,SS,1,128,112,32,512,30870495,60.2939,15217.194442555548
E4M3,SS,1,128,128,32,32,2197039,68.6575,15272.563084877836
E4M3,SS,1,128,128,32,64,4245039,66.3287,15808.782623509884
E4M3,SS,1,128,128,32,128,8341409,65.1673,16090.523928411949
E4M3,SS,1,128,128,32,256,16533409,64.5836,16235.948445116097
E4M3,SS,1,128,128,32,512,32923607,64.3039,16306.56927495844
E4M3,SS,1,128,256,32,32,4245039,132.6575,15808.770706518666
E4M3,SS,1,128,256,32,64,8335039,130.235,16102.829500518292
E4M3,SS,1,128,256,32,128,16533409,129.1673,16235.93587541119
E4M3,SS,1,128,256,32,256,32917409,128.5836,16309.638243135207
E4M3,SS,1,128,256,32,512,65691357,128.3034,16345.256633884994
E4M3,SS,2,128,64,32,32,956904,29.9032,17532.839294791193
E4M3,SS,2,128,64,32,64,1756906,27.4517,19098.56220197656
E4M3,SS,2,128,64,32,128,3356906,26.2258,19991.30627092405
E4M3,SS,2,128,64,32,256,6556906,25.6129,20469.68519769335
E4M3,SS,2,128,64,32,512,12962980,25.3183,20707.86743185759
E4M3,SS,2,128,80,32,32,1025278,32.0399,20454.495800548688
E4M3,SS,2,128,80,32,64,1889280,29.52,22200.542005420055
E4M3,SS,2,128,80,32,128,3617280,28.26,23190.375088464258
E4M3,SS,2,128,80,32,256,7073280,27.63,23719.145855953673
E4M3,SS,2,128,80,32,512,13990730,27.3256,23983.370904938958
E4M3,SS,2,128,96,32,32,1093278,34.1649,23018.712187069184
E4M3,SS,2,128,96,32,64,2021280,31.5825,24900.878651151746
E4M3,SS,2,128,96,32,128,3877280,30.2913,25962.306008655953
E4M3,SS,2,128,96,32,256,7589280,29.6456,26527.781525757615
E4M3,SS,2,128,96,32,512,15018974,29.3339,26809.663904220033
E4M3,SS,2,128,112,32,32,1131278,35.3524,25953.089464930243
E4M3,SS,2,128,112,32,64,2091280,32.6763,28078.576827853827
E4M3,SS,2,128,112,32,128,4011280,31.3381,29277.588622156414
E4M3,SS,2,128,112,32,256,7848738,30.6591,29925.99260904593
E4M3,SS,2,128,112,32,512,15536740,30.3452,30235.556199992094
E4M3,SS,2,128,128,32,32,1196904,37.4032,28034.392779227448
E4M3,SS,2,128,128,32,64,2220906,34.7017,30216.848165939995
E4M3,SS,2,128,128,32,128,4268906,33.3508,31440.80501817048
E4M3,SS,2,128,128,32,256,8361883,32.6636,32102.27898945615
E4M3,SS,2,128,128,32,512,16561991,32.3476,32415.882476597955
E4M3,SS,2,128,256,32,32,2220904,69.4032,30216.935242179035
E4M3,SS,2,128,256,32,64,4268906,66.7017,31440.75788173315
E4M3,SS,2,128,256,32,128,8364906,65.3508,32090.685959467977
E4M3,SS,2,128,256,32,256,16556906,64.6754,32425.806411711408
E4M3,SS,2,128,256,32,512,32947104,64.3498,32589.87595921044
E4M3,SS,2,256,64,32,32,1541904,48.1845,21761.686849505546
E4M3,SS,2,256,64,32,64,2917906,45.5923,22998.97131752511
E4M3,SS,2,256,64,32,128,5669906,44.2961,23671.971121611157
E4M3,SS,2,256,64,32,256,11173658,43.6471,24023.955772548463
E4M3,SS,2,256,64,32,512,22187735,43.3354,24196.7536932854
E4M3,SS,2,256,80,32,32,1622278,50.6962,25854.403288609403
E4M3,SS,2,256,80,32,64,3074280,48.0356,27286.42923165319
E4M3,SS,2,256,80,32,128,5974280,46.6741,28082.38402025963
E4M3,SS,2,256,80,32,256,11777286,46.005,28490.816215628733
E4M3,SS,2,256,80,32,512,23387730,45.6792,28694.022662393385
E4M3,SS,2,256,96,32,32,1754278,54.8212,28690.798450234583
E4M3,SS,2,256,96,32,64,3332280,52.0669,30208.520192291075
E4M3,SS,2,256,96,32,128,6490280,50.7053,31019.715887688268
E4M3,SS,2,256,96,32,256,12804278,50.0167,31446.77677655663
E4M3,SS,2,256,96,32,512,25440232,49.688,31654.80598937369
E4M3,SS,2,256,112,32,32,1970278,61.5712,29803.02479081129
E4M3,SS,2,256,112,32,64,3762280,58.7856,31215.26360197055
E4M3,SS,2,256,112,32,128,7346280,57.3928,31972.791012113015
E4M3,SS,2,256,112,32,256,14513784,56.6945,32366.596407058885
E4M3,SS,2,256,112,32,512,28856230,56.3598,32558.809648011527
E4M3,SS,2,256,128,32,32,2225904,69.5595,30149.037874050275
E4M3,SS,2,256,128,32,64,4273906,66.7798,31403.98743332565
E4M3,SS,2,256,128,32,128,8369902,65.3899,32071.497280161006
E4M3,SS,2,256,128,32,256,16561410,64.693,32416.98483607191
E4M3,SS,2,256,128,32,512,32952350,64.3601,32584.66037187636
E4M3,SS,2,256,256,32,32,4273904,133.5595,31404.01094643211
E4M3,SS,2,256,256,32,64,8369906,130.7798,32071.497280161006
E4M3,SS,2,256,256,32,128,16561906,129.3899,32416.007740944227
E4M3,SS,2,256,256,32,256,32945892,128.6949,32591.06615724477
E4M3,SS,2,256,256,32,512,65719114,128.3576,32676.70944299364
E4M3,TS,1,64,64,32,32,1140915,35.6536,7352.525411178675
E4M3,TS,1,64,64,32,64,2164915,33.8268,7749.594995683896
E4M3,TS,1,64,64,32,128,4212915,32.9134,7964.658771199572
E4M3,TS,1,64,64,32,256,8308913,32.4567,8076.729920170566
E4M3,TS,1,64,64,32,512,16507241,32.2407,8130.840831619662
E4M3,TS,1,64,80,32,32,1397039,43.6575,7505.697760980359
E4M3,TS,1,64,80,32,64,2677039,41.8287,7833.855701946271
E4M3,TS,1,64,80,32,128,5237039,40.9144,8008.916176211798
E4M3,TS,1,64,80,32,256,10357409,40.4586,8099.143321815387
E4M3,TS,1,64,80,32,512,20603363,40.2409,8142.959029246363
E4M3,TS,1,64,96,32,32,1653039,51.6575,7611.982771136814
E4M3,TS,1,64,96,32,64,3189039,49.8287,7891.355784919133
E4M3,TS,1,64,96,32,128,6261039,48.9144,8038.859722290368
E4M3,TS,1,64,96,32,256,12405409,48.4586,8114.472972805653
E4M3,TS,1,64,96,32,512,24699363,48.2409,8151.091708488025
E4M3,TS,1,64,112,32,32,1909039,59.6575,7689.762393663831
E4M3,TS,1,64,112,32,64,3701039,57.8287,7932.94678939696
E4M3,TS,1,64,112,32,128,7285039,56.9144,8060.385420912809
E4M3,TS,1,64,112,32,256,14453409,56.4586,8125.4583004183605
E4M3,TS,1,64,112,32,512,28795363,56.2409,8156.9107180006
E4M3,TS,1,64,128,32,32,2164915,67.6536,7749.594995683896
E4M3,TS,1,64,128,32,64,4212915,65.8268,7964.658771199572
E4M3,TS,1,64,128,32,128,8308913,64.9134,8076.729920170566
E4M3,TS,1,64,128,32,256,16500913,64.4567,8133.956594116671
E4M3,TS,1,64,128,32,512,32891233,64.2407,8161.305838821806
E4M3,TS,1,64,256,32,32,4212915,131.6536,7964.658771199572
E4M3,TS,1,64,256,32,64,8308913,129.8268,8076.729920170566
E4M3,TS,1,64,256,32,128,16500913,128.9134,8133.956594116671
E4M3,TS,1,64,256,32,256,32884913,128.4567,8162.875116673556
E4M3,TS,1,64,256,32,512,65659233,128.2407,8176.624113873365
E4M3,TS,1,128,64,32,32,1141287,35.6652,14700.26804840573
E4M3,TS,1,128,64,32,64,2165289,33.8326,15496.532929777788
E4M3,TS,1,128,64,32,128,4213289,32.9163,15927.91413372706
E4M3,TS,1,128,64,32,256,8309533,32.4591,16152.26546638693
E4M3,TS,1,128,64,32,512,16507737,32.2417,16261.177295241876
E4M3,TS,1,128,80,32,32,1397287,43.6652,15008.748385441953
E4M3,TS,1,128,80,32,64,2677287,41.8326,15666.250723120245
E4M3,TS,1,128,80,32,128,5237287,40.9163,16017.088544174327
E4M3,TS,1,128,80,32,256,10357037,40.4572,16198.847176769525
E4M3,TS,1,128,80,32,512,20603483,40.2412,16285.796646223274
E4M3,TS,1,128,96,32,32,1653287,51.6652,15221.696615903937
E4M3,TS,1,128,96,32,64,3189287,49.8326,15781.47638293005
E4M3,TS,1,128,96,32,128,6261287,48.9163,16077.094956078035
E4M3,TS,1,128,96,32,256,12405037,48.4572,16229.414823803274
