CTAsPerSM,NumStages,SmemWidth,SmemHeight,BytesInFlightPerSM,DRAMBandwidthBps,SMCyclesAvg,TMAAvgOps,CyclesPerTMA
3,4,128,4,24576,0,21084520.1,52428.0,402.1614423590448
3,1,128,8,12288,0,34887056.9,26214.0,1330.8559128709849
3,2,128,8,24576,0,20764745.5,26214.0,792.1242656595712
3,4,128,8,49152,0,17860149.8,26214.0,681.3210421911956
3,1,128,16,24576,0,21808319.4,13107.0,1663.8681162737466
3,2,128,16,49152,0,17710192.3,13107.0,1351.2010605020218
3,4,128,16,98304,0,18109022.5,13107.0,1381.629854276341
3,1,128,32,49152,0,13300959.1,6552.0,2030.0609126984127
3,2,128,32,98304,0,17787555.8,6552.0,2714.828418803419
3,4,128,32,196608,0,18069867.1,6552.0,2757.9162240537244
3,1,128,64,98304,0,17508369.1,3276.0,5344.435012210012
3,2,128,64,196608,0,17675707.9,3276.0,5395.515231990232
3,4,128,64,393216,0,17295514.3,3276.0,5279.46101953602
3,1,128,128,196608,0,17448179.6,1638.0,10652.124297924298
3,2,128,128,393216,0,18268037.5,1638.0,11152.648046398046
3,1,128,256,393216,0,18264823.3,819.0,22301.371550671553
4,1,128,1,2048,0,218592166.9,209712.0,1042.3445816166934
4,2,128,1,4096,0,96058927.3,209712.0,458.05164845120925
4,4,128,1,8192,0,56317747.9,209712.0,268.5480463683528
4,1,128,2,4096,0,113747511.7,104856.0,1084.7973573281454
4,2,128,2,8192,0,56403095.3,104856.0,537.9100413900969
4,4,128,2,16384,0,33105218.5,104856.0,315.72078374151215
4,1,128,4,8192,0,60857037.6,52428.0,1160.7735866330968
4,2,128,4,16384,0,32437700.5,52428.0,618.7094777599756
4,4,128,4,32768,0,21006570.0,52428.0,400.6746395056077
4,1,128,8,16384,0,34645477.7,26212.0,1321.7410994964139
4,2,128,8,32768,0,21121124.0,26212.0,805.7807111246757
4,4,128,8,65536,0,17635449.4,26212.0,672.8006027773538
4,1,128,16,32768,0,21506357.8,13104.0,1641.2055708180708
4,2,128,16,65536,0,17896783.3,13104.0,1365.7496413308913
4,4,128,16,131072,0,18208851.0,13104.0,1389.5643315018315
4,1,128,32,65536,0,17451201.6,6552.0,2663.492307692308
4,2,128,32,131072,0,13444222.4,6552.0,2051.926495726496
4,4,128,32,262144,0,17991687.0,6552.0,2745.983974358974
4,1,128,64,131072,0,17522796.4,3276.0,5348.83894993895
4,2,128,64,262144,0,17935492.0,3276.0,5474.814407814408
4,4,128,64,524288,0,18902693.7,3276.0,5770.053021978022
4,1,128,128,262144,0,17739188.6,1636.0,10843.024816625917
4,2,128,128,524288,0,13833798.5,1636.0,8455.86705378973
4,1,128,256,524288,0,17319391.7,816.0,21224.744730392154
